Transaction_ID,Date,Customer_ID,Product_Category,Product_Name,Price,Quantity,Payment_Status,Return_ID,Original_Tx_ID,Return_Date,Refund_Amount,Status,Price_Clean,Issue_Final
100236,2023-11-24,C0012,Electronics,Smartphone Z,919.20,1,Paid,,,,,,919.2,Nav sūdzību
100061,2023-11-17,C0002,Electronics,Laptop X,"1598,23 EUR",1,Paid,,,,,,159823.0,Nav sūdzību
101131,2023-12-14,C0008,Smart Home,NordPlug,23.86,1,Paid,,,,,,23.86,Nav sūdzību
100391,28/11/2023,C0001,Smart Home,NordTherm,$101.68,1,Paid,,,,,,101.68,Nav sūdzību
100319,2023-11-27,C0004,Accessories,Phone Case,"35,72 EUR",1,Paid,,,,,,3572.0,Nav sūdzību
100889,2023-12-09,C0001,Electronics,NoiseCancel Headphones,230.36,1,Paid,,,,,,230.36,Nav sūdzību
100105,2023-11-19,C0056,Smart Home,NordCam Mini,"82,40 EUR",1,Paid,,,,,,8240.0,Nav sūdzību
100603,2023-12-04,C0002,Electronics,Laptop X,"1771,94 EUR",1,Paid,,,,,,177194.0,Nav sūdzību
101189,2023-11-28,C0001,Smart Home,NordLock Pro,210.88,1,Paid,,,,,,210.88,Nav sūdzību
100563,2023-12-03,C0008,Electronics ,Smartphone Z,855.14,1,Paid,,,,,,855.14,Nav sūdzību
100366,2023-11-28,C0004, Electronics ,Smartphone Z,1024.64,1,Paid,,,,,,1024.64,Nav sūdzību
100996,2023-12-12,C0003,Smart Home,NordLock Pro,222.61,1,Paid,,,,,,222.61,Nav sūdzību
100043,16/11/2023,C0002,Electronics ,TV Pro,$1164.30,1,Paid,,,,,,1164.3,Nav sūdzību
100725,2023-12-06,C0003, Accessories,Laptop Sleeve,27.13,2,Paid,,,,,,27.13,Nav sūdzību
100456,2023-11-30,C0001, Smart Home ,NordTherm,"105,45 EUR",1,Paid,,,,,,10545.0,Nav sūdzību
100537,2023-12-02,C0030,Electronics,NoiseCancel Headphones,"290,46 EUR",1,Paid,,,,,,29046.0,Nav sūdzību
101176,2023-11-24,C0017,Accessories,Phone Case,"34,84 EUR",1,Paid,,,,,,3484.0,Nav sūdzību
101058,2023-12-13,C0001,Electronics,Laptop X,"1504,82 EUR",1,Paid,,,,,,150482.0,Nav sūdzību
100032,2023-11-16,C0094,Electronics,Laptop X,$1585.05,1,Paid,,,,,,1585.05,Nav sūdzību
100455,2023-11-30,C0117, Smart Home ,NordLock Pro,205.04,2,Paid,,,,,,205.04,Nav sūdzību
100354,2023-11-28,C0002, Smart Home ,NordLock Pro,"201,09 EUR",1,Paid,,,,,,20109.0,Nav sūdzību
101181,08/12/2023,C0006,Accessories,Accessory Bundle,27.11,1,Paid,,,,,,27.11,Nav sūdzību
100062,17/11/2023,C0001, Smart Home ,NordLock Pro,221.97,1,Paid,,,,,,221.97,Nav sūdzību
100858,09/12/2023,C0001,Electronics,TV Pro,1060.25,1,Failed,,,,,,1060.25,Nav sūdzību
101049,2023-12-13,C0001, Electronics ,NoiseCancel Headphones,288,1,Paid,,,,,,288.0,Nav sūdzību
100686,2023-12-05,C0059,Electronics,Tablet A,753.90,1,Paid,,,,,,753.9,Nav sūdzību
100233,24/11/2023,C0278,Electronics,TV Pro,1041.16,1,Paid,,,,,,1041.16,Nav sūdzību
100094,2023-11-18,C0076, Accessories ,Charger,"28,32 EUR",3,Paid,,,,,,2832.0,Nav sūdzību
100215,23/11/2023,C0063,Electronics,Smartphone Z,1077.99,1,Paid,,,,,,1077.99,Nav sūdzību
100310,2023-11-26,C0002,Electronics,TV Pro,1601.36,1,Paid,,,,,,1601.36,Nav sūdzību
100202,2023-11-23,C0002, Smart Home ,NordLock Pro,$186.48,1,Pending,,,,,,186.48,Nav sūdzību
100290,2023-11-25,C0002, Accessories ,Phone Case,12.32,1,Paid,,,,,,12.32,Nav sūdzību
100737,2023-12-06,C0015,Electronics,Tablet A,672.16,1,Paid,,,,,,672.16,Nav sūdzību
100318,2023-11-27,C0005,Electronics,Smartphone Z,727.66,1,Paid,,,,,,727.66,Nav sūdzību
101141,01/12/2023,C0038, Accessories ,Accessory Bundle,55.24,3,Paid,,,,,,55.24,Nav sūdzību
100891,2023-12-09,C0008,Smart Home,NordLock Pro,"212,31 EUR",2,Paid,,,,,,21231.0,Nav sūdzību
101188,2023-12-10,C0062, Accessories ,Wireless Mouse,32.09,1,Paid,,,,,,32.09,Nav sūdzību
100096,2023-11-18,C0001,Electronics,NoiseCancel Headphones,"166,52 EUR",1,Paid,,,,,,16652.0,Nav sūdzību
100880,2023-12-09,C0001,Smart Home,NordLock Pro,231.50,1,Paid,,,,,,231.5,Nav sūdzību
100070,2023-11-17,C0124,Accessories,Accessory Bundle,"86,79 EUR",1,Paid,,,,,,8679.0,Nav sūdzību
100797,07/12/2023,C0097,Electronics,Tablet A,583.65,1,Paid,,,,,,583.65,Nav sūdzību
100721,2023-12-06,C0085,Smart Home,NordLock Pro,"200,26 EUR",1,Paid,,,,,,20026.0,Nav sūdzību
100796,2023-12-07,C0145,Accessories,Wireless Mouse,"43,57 EUR",1,Paid,,,,,,4357.0,Nav sūdzību
100353,28/11/2023,C0010,Electronics ,NoiseCancel Headphones,"297,95 EUR",1,Failed,,,,,,29795.0,Nav sūdzību
100352,2023-11-28,C0013, Electronics ,Laptop X,1343,1,Paid,,,,,,1343.0,Nav sūdzību
100551,02/12/2023,C0200,Electronics,Tablet A,"445,23 EUR",1,Paid,,,,,,44523.0,Nav sūdzību
100404,2023-11-29,C0017, Smart Home ,NordTherm,"83,85 EUR",1,Paid,,,,,,8385.0,Nav sūdzību
100715,06/12/2023,C0002,Electronics,NoiseCancel Headphones,"330,75 EUR",1,Paid,,,,,,33075.0,Nav sūdzību
100170,2023-11-22,C0199,Electronics,TV Pro,"1 050,20 EUR",1,Failed,,,,,,105020.0,Nav sūdzību
100431,29/11/2023,C0310,Smart Home,NordLock Pro,"193,31 EUR",1,Paid,,,,,,19331.0,Nav sūdzību
100608,2023-12-04,C0024,Smart Home,NordTherm,"81,21 EUR",1,Paid,,,,,,8121.0,Nav sūdzību
100648,2023-12-05,C0024,Electronics ,Smartphone Z,834.38,1,Paid,,,,,,834.38,Nav sūdzību
100623,04/12/2023,C0002,Accessories,Laptop Sleeve,"43,96 EUR",2,Paid,,,,,,4396.0,Nav sūdzību
100341,2023-11-27,C0006,Electronics,NoiseCancel Headphones,300.70,2,Paid,,,,,,300.7,Nav sūdzību
100742,2023-12-07,C0001, Accessories ,USB-C Cable,"10,69 EUR",4,Paid,,,,,,1069.0,Nav sūdzību
100873,2023-12-09,C0004,Electronics,Smartphone Z,"863,18 EUR",1,Paid,,,,,,86318.0,Nav sūdzību
100078,18/11/2023,C0007,Electronics,Tablet A,"527,12 EUR",1,Paid,,,,,,52712.0,Nav sūdzību
101143,2023-12-10,C0001,Electronics ,TV Pro,"970,60 EUR",1,Paid,,,,,,97060.0,Nav sūdzību
100910,10/12/2023,C0006,Smart Home,NordLock Pro,181.92,1,Failed,,,,,,181.92,Nav sūdzību
100432,2023-11-29,C0006,Smart Home,NordLock Pro,187.29,1,Failed,,,,,,187.29,Nav sūdzību
100272,25/11/2023,C0003, Electronics ,TV Pro,1118.62,1,Paid,,,,,,1118.62,Nav sūdzību
100081,18/11/2023,C0091,Electronics,Tablet A,372.51,1,Paid,,,,,,372.51,Nav sūdzību
100280,2023-11-25,C0002,Accessories,Charger,"39,36 EUR",1,Paid,,,,,,3936.0,Nav sūdzību
100837,08/12/2023,C0006,Electronics,Tablet A,"702,29 EUR",1,Paid,,,,,,70229.0,Nav sūdzību
100506,2023-12-01,C0057, Accessories,Screen Protector,7.12,1,Paid,,,,,,7.12,Nav sūdzību
100364,2023-11-28,C0003,Electronics,TV Pro,$1094.93,1,Paid,,,,,,1094.93,Nav sūdzību
101173,2023-12-07,C0002,Electronics ,Tablet A,$636.80,1,Paid,,,,,,636.8,Nav sūdzību
100612,2023-12-04,C0052, Accessories,Charger,"35,09 EUR",3,Pending,,,,,,3509.0,Nav sūdzību
100040,2023-11-16,C0238,Electronics,Laptop X,1653.40,1,Paid,,,,,,1653.4,Nav sūdzību
101085,2023-12-13,C0038,Smart Home,NordCam Mini,"91,86 EUR",2,Paid,,,,,,9186.0,Nav sūdzību
100412,29/11/2023,C0053,Electronics,TV Pro,1261.41,1,Paid,,,,,,1261.41,Nav sūdzību
100278,25/11/2023,C0181,Smart Home,NordLock Pro,"247,91 EUR",1,Paid,,,,,,24791.0,Nav sūdzību
101101,2023-12-14,C0004,Smart Home,NordLock Pro,211.15,1,Paid,,,,,,211.15,Nav sūdzību
100565,2023-12-03,C0005,Smart Home,NordLock Pro,185,1,Paid,,,,,,185.0,Nav sūdzību
100827,2023-12-08,C0013, Electronics ,Tablet A,$665.07,1,Paid,,,,,,665.07,Nav sūdzību
